study,factor,setting,model,seed,epoch,train_loss,val_loss,val_acc
resnet_ablation,optimizer,adam,resnet,42,1,0.7393659298066739,0.3471794958625521,0.9920588235294118
resnet_ablation,optimizer,adamw,resnet,42,1,0.7395755036009682,0.3480163152728762,0.9920588235294118
resnet_ablation,optimizer,sgd,resnet,42,1,2.064691272046831,1.760236918926239,0.47411764705882353
resnet_ablation,weight_decay,0,resnet,42,1,0.7395706524451574,0.34782799652644564,0.9923529411764705
resnet_ablation,weight_decay,1e-5,resnet,42,1,0.7395706524451574,0.34782799652644564,0.9923529411764705
resnet_ablation,weight_decay,1e-4,resnet,42,1,0.7395755036009682,0.3480163152728762,0.9920588235294118
resnet_ablation,weight_decay,1e-3,resnet,42,1,0.7392084289480139,0.34740964216845377,0.9920588235294118
resnet_ablation,label_smoothing,0.0,resnet,42,1,0.48542408308842117,0.035435050526367765,0.9938235294117647
resnet_ablation,label_smoothing,0.05,resnet,42,1,0.7395755036009682,0.3480163152728762,0.9920588235294118
resnet_ablation,label_smoothing,0.1,resnet,42,1,0.9258538131360654,0.5700061448982784,0.9914705882352941
resnet_ablation,transform,no_aug_no_norm,resnet,42,1,0.6632118898409384,0.3953699937888554,0.9829411764705882
resnet_ablation,transform,no_aug_norm,resnet,42,1,0.662955837669196,0.3709287473133632,0.9847058823529412
resnet_ablation,transform,aug_norm,resnet,42,1,0.7395755036009682,0.3480163152728762,0.9920588235294118
