study,factor,setting,model,seed,optimizer,lr,weight_decay,label_smoothing,scheduler,epochs,normalize,augment,best_epoch,best_val_acc,best_val_loss,final_val_acc,final_val_loss
resnet_ablation,optimizer,adam,resnet,42,adam,0.0003,0.0001,0.05,onecycle,1,True,True,1,0.9920588235294118,0.3471794958625521,0.9920588235294118,0.3471794958625521
resnet_ablation,optimizer,adamw,resnet,42,adamw,0.0003,0.0001,0.05,onecycle,1,True,True,1,0.9920588235294118,0.3480163152728762,0.9920588235294118,0.3480163152728762
resnet_ablation,optimizer,sgd,resnet,42,sgd,0.0003,0.0001,0.05,onecycle,1,True,True,1,0.47411764705882353,1.760236918926239,0.47411764705882353,1.760236918926239
resnet_ablation,weight_decay,0,resnet,42,adamw,0.0003,0.0,0.05,onecycle,1,True,True,1,0.9923529411764705,0.34782799652644564,0.9923529411764705,0.34782799652644564
resnet_ablation,weight_decay,1e-5,resnet,42,adamw,0.0003,1e-05,0.05,onecycle,1,True,True,1,0.9923529411764705,0.34782799652644564,0.9923529411764705,0.34782799652644564
resnet_ablation,weight_decay,1e-4,resnet,42,adamw,0.0003,0.0001,0.05,onecycle,1,True,True,1,0.9920588235294118,0.3480163152728762,0.9920588235294118,0.3480163152728762
resnet_ablation,weight_decay,1e-3,resnet,42,adamw,0.0003,0.001,0.05,onecycle,1,True,True,1,0.9920588235294118,0.34740964216845377,0.9920588235294118,0.34740964216845377
resnet_ablation,label_smoothing,0.0,resnet,42,adamw,0.0003,0.0001,0.0,onecycle,1,True,True,1,0.9938235294117647,0.035435050526367765,0.9938235294117647,0.035435050526367765
resnet_ablation,label_smoothing,0.05,resnet,42,adamw,0.0003,0.0001,0.05,onecycle,1,True,True,1,0.9920588235294118,0.3480163152728762,0.9920588235294118,0.3480163152728762
resnet_ablation,label_smoothing,0.1,resnet,42,adamw,0.0003,0.0001,0.1,onecycle,1,True,True,1,0.9914705882352941,0.5700061448982784,0.9914705882352941,0.5700061448982784
resnet_ablation,transform,no_aug_no_norm,resnet,42,adamw,0.0003,0.0001,0.05,onecycle,1,False,False,1,0.9829411764705882,0.3953699937888554,0.9829411764705882,0.3953699937888554
resnet_ablation,transform,no_aug_norm,resnet,42,adamw,0.0003,0.0001,0.05,onecycle,1,True,False,1,0.9847058823529412,0.3709287473133632,0.9847058823529412,0.3709287473133632
resnet_ablation,transform,aug_norm,resnet,42,adamw,0.0003,0.0001,0.05,onecycle,1,True,True,1,0.9920588235294118,0.3480163152728762,0.9920588235294118,0.3480163152728762
